Date_Text,Open,High,Low,Adj Close,Close,Volume
01/00/1900, $96.25 , $97.88 , $92.38 , $60.42 , $94.78 ,"23,011,100"
01/00/1900, $95.44 , $95.91 , $93.25 , $60.02 , $93.78 ,"12,534,300"
01/00/1900, $94.59 , $97.66 , $94.44 , $62.44 , $97.56 ,"12,416,400"
01/00/1900, $97.84 , $98.44 , $91.91 , $59.08 , $92.31 ,"25,860,700"
01/00/1900, $91.13 , $96.69 , $90.91 , $61.64 , $96.31 ,"28,343,400"
01/00/1900, $96.69 , $98.02 , $95.00 , $61.40 , $95.94 ,"20,684,800"
01/00/1900, $96.38 , $99.56 , $95.41 , $62.92 , $98.31 ,"27,332,500"
01/00/1900, $99.91 , $101.63 , $99.72 , $65.04 , $101.63 ,"22,667,300"
01/00/1900, $101.72 , $102.94 , $100.72 , $65.28 , $102.00 ,"17,181,800"
01/00/1900, $102.81 , $103.72 , $102.16 , $66.34 , $103.66 ,"13,157,700"
01/00/1900, $104.25 , $105.53 , $102.94 , $67.28 , $105.13 ,"16,726,900"
01/00/1900, $105.25 , $105.94 , $103.16 , $67.80 , $105.94 ,"26,169,900"
01/00/1900, $105.53 , $108.00 , $105.25 , $68.55 , $107.09 ,"18,355,000"
01/00/1900, $107.84 , $110.19 , $107.53 , $70.33 , $109.88 ,"15,427,700"
01/00/1900, $109.72 , $111.53 , $109.00 , $70.37 , $109.63 ,"18,329,100"
01/00/1900, $109.63 , $112.81 , $108.97 , $72.27 , $112.59 ,"19,672,700"
01/00/1900, $113.25 , $113.38 , $109.75 , $71.37 , $111.19 ,"19,470,200"
01/00/1900, $111.38 , $112.44 , $110.00 , $72.07 , $112.28 ,"24,363,200"
01/00/1900, $112.00 , $113.44 , $110.34 , $71.13 , $110.81 ,"26,749,300"
01/00/1900, $109.38 , $112.59 , $107.63 , $72.27 , $112.59 ,"41,418,000"
01/00/1900, $112.72 , $113.31 , $109.34 , $71.33 , $111.13 ,"30,101,100"
01/00/1900, $111.56 , $112.69 , $110.34 , $71.27 , $111.03 ,"27,726,600"
01/00/1900, $110.72 , $112.78 , $109.83 , $71.41 , $111.25 ,"27,646,200"
01/00/1900, $112.09 , $112.09 , $107.58 , $69.99 , $109.03 ,"26,782,100"
01/00/1900, $108.97 , $112.00 , $107.88 , $71.89 , $112.00 ,"34,267,900"
01/00/1900, $111.94 , $113.06 , $108.25 , $70.89 , $110.44 ,"30,907,700"
01/00/1900, $108.81 , $111.78 , $107.50 , $70.65 , $110.06 ,"37,157,100"
01/00/1900, $110.25 , $114.44 , $110.06 , $73.21 , $113.69 ,"29,422,700"
01/00/1900, $114.25 , $114.94 , $113.06 , $73.95 , $114.84 ,"17,231,600"
01/00/1900, $114.78 , $116.94 , $114.56 , $75.00 , $116.47 ,"29,732,300"
01/00/1900, $116.56 , $119.00 , $116.06 , $76.35 , $118.56 ,"28,371,300"
01/00/1900, $118.75 , $119.23 , $112.88 , $73.47 , $114.09 ,"44,925,700"
01/00/1900, $113.63 , $115.00 , $111.31 , $71.98 , $111.78 ,"45,257,500"
01/00/1900, $111.78 , $112.42 , $105.59 , $70.27 , $109.13 ,"72,464,700"
01/00/1900, $108.75 , $109.66 , $105.50 , $68.34 , $106.13 ,"49,420,900"
01/00/1900, $106.00 , $111.09 , $105.50 , $69.91 , $108.56 ,"49,240,700"
01/00/1900, $109.25 , $111.25 , $102.16 , $66.57 , $103.38 ,"74,853,400"
01/00/1900, $103.75 , $104.02 , $93.63 , $62.94 , $97.75 ,"96,249,900"
01/00/1900, $100.88 , $103.13 , $96.81 , $65.48 , $101.69 ,"67,125,300"
01/00/1900, $102.88 , $105.25 , $101.09 , $65.74 , $102.09 ,"50,014,000"
01/00/1900, $99.63 , $107.00 , $98.94 , $67.37 , $104.25 ,"51,170,100"
01/00/1900, $105.31 , $106.31 , $97.22 , $65.08 , $100.72 ,"55,061,700"
01/00/1900, $99.59 , $101.28 , $92.22 , $63.67 , $98.53 ,"73,110,200"
01/00/1900, $100.63 , $107.25 , $98.75 , $68.50 , $106.00 ,"61,057,200"
01/00/1900, $105.69 , $108.80 , $105.50 , $69.04 , $106.84 ,"46,220,600"
01/00/1900, $107.72 , $110.91 , $106.03 , $71.08 , $110.00 ,"41,077,300"
01/00/1900, $110.81 , $114.56 , $110.19 , $73.75 , $114.13 ,"33,667,300"
01/00/1900, $113.94 , $114.25 , $111.69 , $73.16 , $113.22 ,"42,108,300"
01/00/1900, $114.22 , $116.75 , $112.89 , $75.36 , $116.63 ,"30,461,600"
01/00/1900, $117.47 , $119.72 , $117.16 , $77.22 , $119.50 ,"21,426,400"
01/00/1900, $119.02 , $119.38 , $115.09 , $76.49 , $118.38 ,"47,636,300"
01/00/1900, $118.06 , $119.75 , $115.56 , $75.69 , $117.13 ,"33,885,300"
01/00/1900, $116.16 , $119.13 , $113.75 , $76.58 , $118.50 ,"38,130,000"
01/00/1900, $119.25 , $123.25 , $119.00 , $79.54 , $122.69 ,"23,339,900"
